ID,Organizadora,Cargo,Ano,Materia,Assunto,Enunciado,Gabarito,URL
21,"CEBRASPE (CESPE)","Tecno (EBSERH)",2018,"","","Julgue o item que se segue, a respeito de controle externo e interno. O controle externo, em razão do aparato jurídico que o cerca, é hierarquicamente superior ao sistema de controle interno.",Errado,"www.tecconcursos.com.br/questoes/647756"
22,"CEBRASPE (CESPE)","Tecno (EBSERH)",2018,"","","Julgue o item que se segue, a respeito de controle externo e interno. O controle interno da administração pública está relacionado à ação exercida sobre si própria por parte da organização responsável pelo desempenho da atividade controlada.",Certo,"www.tecconcursos.com.br/questoes/647757"
23,"CEBRASPE (CESPE)","ACE (TCE-MG)",2018,"","","Vários estados da Federação enfrentavam problemas relacionados à entrega de correspondências: o percentual de cartas não entregues havia dobrado e, conforme o tipo de encomenda, os atrasos tinham quintuplicado. Em razão disso, um deputado federal apresentou requerimento de convocação do ministro das Comunicações para que este prestasse esclarecimentos sobre as principais razões para essa crise dos serviços postais no Brasil. O pedido foi aprovado pela maioria absoluta do plenário, e foi efetuada a convocação do ministro. Nessa situação hipotética, a Câmara Legislativa exerceu o controle",D,"www.tecconcursos.com.br/questoes/724870"
24,"CEBRASPE (CESPE)","ACE (TCE-MG)",2018,"","","Conforme a classificação das formas de controle administrativo, ao realizar auditoria de despesas efetuadas pelo Poder Executivo durante a execução do orçamento, o tribunal de contas exerce controle",E,"www.tecconcursos.com.br/questoes/726715"
25,"CEBRASPE (CESPE)","AUCE (TCE-PE)",2017,"","","A respeito das formas de controle interno e externo, julgue o item seguinte. O controle político exercido pelas comissões parlamentares de inquérito é uma espécie de controle externo de competência do Poder Legislativo.",Certo,"www.tecconcursos.com.br/questoes/533926"
26,"CEBRASPE (CESPE)","APC (FUNPRESP-EXE)",2016,"","","Com relação ao processo de controle interno e de avaliação e gestão de riscos, julgue o item a seguir. Cabe ao controle interno de uma entidade fiscalizar a administração e o corpo funcional dessa entidade.",Certo,"www.tecconcursos.com.br/questoes/339591"
27,"CEBRASPE (CESPE)","Ass Tec (TCE-RN)",2015,"","","Acerca das diretrizes legais e doutrinárias relativas aos tribunais de contas, julgue o item a seguir. Todas as competências dos tribunais de contas são compulsoriamente partilhadas com os demais órgãos integrantes do controle externo.",Errado,"www.tecconcursos.com.br/questoes/316789"
28,"CEBRASPE (CESPE)","ERSTA (ANTAQ)",2014,"","","No que se refere aos tipos de controle e atuação dos tribunais de contas, julgue o item que se segue. O Congresso Nacional exerce controle externo e administrativo quando susta atos normativos do Poder Executivo que exorbitem do poder regulamentar.",Errado,"www.tecconcursos.com.br/questoes/250568"
29,"CEBRASPE (CESPE)","TRSTA (ANTAQ)",2014,"","","Julgue o item a seguir, a respeito dos controles interno e externo da administração pública e do controle exercido pelos tribunais de contas. Considere que a sigla TCU, sempre que utilizada, refere-se ao Tribunal de Contas da União. O TCU, ao analisar assuntos atinentes a nomeação ou demissões de servidores públicos federais, realiza o controle interno da administração pública; e, ao discutir o emprego de recursos públicos na aquisição de produtos ou serviços, pratica o controle externo.",Errado,"www.tecconcursos.com.br/questoes/251126"
30,"CEBRASPE (CESPE)","AL (CAM DEP)",2014,"","","Com relação aos controles interno e externo, julgue o item a seguir. O controle interno poderá ser realizado previamente, concomitante e subsequentemente aos atos administrativos, a fim de evitar o desperdício dos recursos e o uso indevido de recursos e bens públicos.",Certo,"www.tecconcursos.com.br/questoes/253635"
31,"CEBRASPE (CESPE)","ACE (TC DF)",2014,"","","No que se refere aos controles parlamentar, administrativo e judicial, julgue o item. O controle exercido pela administração sobre as entidades da administração indireta, denominado tutela, caracteriza-se como controle externo. Na realização desse controle, deve-se preservar a autonomia da entidade, nos termos de sua lei instituidora.",Certo,"www.tecconcursos.com.br/questoes/370109"
32,"CEBRASPE (CESPE)","ACE (TCE-RO)",2013,"","","Em relação ao controle externo e interno da administração pública, julgue o próximo item. O controle interno somente pode ser exercido por iniciativa própria, enquanto o controle externo pode ser exercido por iniciativa própria ou mediante provocação.",Errado,"www.tecconcursos.com.br/questoes/154866"
33,"CEBRASPE (CESPE)","AA (ANTT)",2013,"","","Julgue o próximo item com base no disposto na Lei de Responsabilidade Fiscal e na CF. Ao analisar as contas da ANTT, o Tribunal de Contas da União pratica ato de controle interno.",Errado,"www.tecconcursos.com.br/questoes/206586"
34,"CEBRASPE (CESPE)","ERSTT (ANTT)",2013,"","","Acerca de controle interno e externo, e do controle parlamentar, julgue o item subsequente. Devido ao aparato jurídico que o cerca, o controle externo é mais contundente e hierarquicamente superior ao interno.",Errado,"www.tecconcursos.com.br/questoes/207008"
35,"CEBRASPE (CESPE)","Esp GT (TELEBRAS)",2013,"","","Julgue o item seguinte, relativos a controle interno. A finalidade do controle, em qualquer instituição, é assegurar que os órgãos da instituição atuem em consonância com os princípios constitucionais, especialmente conforme os princípios da legalidade, impessoalidade, moralidade, publicidade, transparência e eficiência.",Certo,"www.tecconcursos.com.br/questoes/1300869"
36,"CEBRASPE (CESPE)","Esp GT (TELEBRAS)",2013,"","","Com base nas normas brasileiras para o exercício de auditoria interna, julgue o item. As auditorias realizadas pela Controladoria-Geral da União nas empresas estatais podem ser consideradas auditorias externas, pois a Norma Brasileira de Auditoria não prevê auditoria interna em entidades públicas de direito privado.",Errado,"www.tecconcursos.com.br/questoes/1301061"
37,"CEBRASPE (CESPE)","ATS (MCom)",2013,"","","O controle é um mecanismo que visa assegurar ao governo, aos seus ministérios (controle interno) e ao Poder Legislativo (controle externo) a adequação da arrecadação e da aplicação dos recursos às dotações orçamentárias aprovadas em lei. A respeito dos controles interno e externo realizados no âmbito da administração pública, julgue o próximo item. Considere que a sigla TCU, sempre que empregada, refere-se a Tribunal de Contas da União. Os pontos de interesse de controle externo referem-se à conformação legal dos atos associados à arrecadação e à aplicação dos dinheiros públicos e à observância dos limites financeiros consignados no orçamento.",Certo,"www.tecconcursos.com.br/questoes/1768458"
38,"CEBRASPE (CESPE)","ATS (MCom)",2013,"","","O controle é um mecanismo que visa assegurar ao governo, aos seus ministérios (controle interno) e ao Poder Legislativo (controle externo) a adequação da arrecadação e da aplicação dos recursos às dotações orçamentárias aprovadas em lei. A respeito dos controles interno e externo realizados no âmbito da administração pública, julgue o próximo item. Considere que a sigla TCU, sempre que empregada, refere-se a Tribunal de Contas da União. Alguns tribunais de contas dos estados são atuantes e cobram dos municípios a aprovação de leis que instituam unidades de controle interno.",Certo,"www.tecconcursos.com.br/questoes/1768461"
39,"CEBRASPE (CESPE)","Esp FEPPE (FNDE)",2013,"","","Por meio de controle, é possível obter medidas essenciais para o perfeito funcionamento de um sistema, de modo que se alcancem seus fins e objetivos. Acerca desse assunto, julgue o item a seguir. O controle interno permite à administração exercer o controle e verificar a regularidade e a legalidade de seus próprios atos, em conformidade com os princípios da legalidade e da supremacia do interesse público.",Certo,"www.tecconcursos.com.br/questoes/2574932"
40,"CEBRASPE (CESPE)","Esp FEPPE (FNDE)",2013,"","","Por meio de controle, é possível obter medidas essenciais para o perfeito funcionamento de um sistema, de modo que se alcancem seus fins e objetivos. Acerca desse assunto, julgue o item a seguir. O controle subsequente na identificação de erros, falhas e vícios permite a adoção de medidas que corrijam ou até mesmo anulem atos praticados indevidamente.",Certo,"www.tecconcursos.com.br/questoes/2574933"
41,"CEBRASPE (CESPE)","Esp FEPPE (FNDE)",2013,"","","Por meio de controle, é possível obter medidas essenciais para o perfeito funcionamento de um sistema, de modo que se alcancem seus fins e objetivos. Acerca desse assunto, julgue o item a seguir. O controle de mérito, que avalia a economicidade dos atos praticados, busca verificar o resultado da ação administrativa em conformidade com os procedimentos legais.",Errado,"www.tecconcursos.com.br/questoes/2574934"
42,"CEBRASPE (CESPE)","Tec FEPPE (FNDE)",2013,"","","Acerca da INTOSAI e dos controles interno e externo, julgue o item a seguir. O controle interno eficaz melhora o desempenho operacional, aumenta a confiabilidade nas informações contábeis e financeiras e garante a conformidade com as regras estabelecidas.",Certo,"www.tecconcursos.com.br/questoes/2575011"
43,"CEBRASPE (CESPE)","Tec FEPPE (FNDE)",2013,"","","Acerca da INTOSAI e dos controles interno e externo, julgue o item a seguir. Proceder à análise dos balancetes mensais, eliminando as inconsistências dentro de cada mês, constitui um dos exames que os órgãos de contabilidade analítica devem proceder para cumprir o controle concomitante.",Certo,"www.tecconcursos.com.br/questoes/2575012"
44,"CEBRASPE (CESPE)","Esp FEPPE (FNDE)",2013,"","","Acerca de despesa pública e classificação de controle, julgue o item a seguir. O ato de controlar consiste na modalidade de fiscalização em que se emite juízo de valor a partir de um conjunto de medidas indispensáveis ao perfeito funcionamento de um sistema no intuito de alcançar seus fins e objetivos.",Certo,"www.tecconcursos.com.br/questoes/2600674"
45,"CEBRASPE (CESPE)","Esp FEPPE (FNDE)",2013,"","","Acerca de despesa pública e classificação de controle, julgue o item a seguir. O controle interno é de competência do Poder Legislativo, que promove a fiscalização com competências próprias, exclusivas e indelegáveis sobre órgãos controlados que não integrem a estrutura do órgão controlador.",Errado,"www.tecconcursos.com.br/questoes/2600675"
46,"CEBRASPE (CESPE)","Tec FEPPE (FNDE)",2013,"","","Acerca de despesa pública e classificação de controle, julgue o item subsequente. O controle, a priori, tem por objetivo averiguar e acompanhar, antes do efetivo reflexo no orçamento e nas finanças da unidade, os atos administrativos praticados pelo controle interno.",Certo,"www.tecconcursos.com.br/questoes/2600780"
47,"CEBRASPE (CESPE)","Tec FEPPE (FNDE)",2013,"","","Julgue o próximo item, a respeito dos princípios do controle interno, da legislação básica e da transparência na gestão pública. Delegação de poderes e determinação de responsabilidades; controle sobre as transações e aderência a diretrizes e normas legais são alguns dos princípios do controle externo.",Errado,"www.tecconcursos.com.br/questoes/2600790"
48,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","Julgue o item a seguir, relativos ao conceito, tipos e formas de controle da administração pública. O controle a posteriori incide exclusivamente sobre decisões já executadas visto que seu objetivo é rever atos praticados a fim de corrigi-los.",Errado,"www.tecconcursos.com.br/questoes/2719143"
49,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","Julgue o item a seguir, relativos ao conceito, tipos e formas de controle da administração pública. O controle de legalidade é priorizado pelos tribunais de contas, ainda que as controladorias ou auditorias também o exerçam.",Certo,"www.tecconcursos.com.br/questoes/2719145"
50,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","A respeito do controle externo e interno da administração pública, julgue o item subsequente. O controle interno da administração pública se caracteriza pela fiscalização que ela exerce sobre os atos e atividades de seus órgãos e das entidades descentralizadas vinculadas a ela.",Certo,"www.tecconcursos.com.br/questoes/2719147"
51,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","A respeito do controle externo e interno da administração pública, julgue o item subsequente. O controle pode ser interno ou externo, conforme o órgão seja integrante, ou não, da estrutura em que se insere o órgão controlado.",Certo,"www.tecconcursos.com.br/questoes/2719149"
52,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","Julgue o item subsequente, no que se refere ao controle parlamentar. O exercício do controle parlamentar permite ao Congresso Nacional instaurar comissões parlamentares de inquérito a fim de garantir um controle mais eficiente da administração pública.",Certo,"www.tecconcursos.com.br/questoes/2719152"
53,"CEBRASPE (CESPE)","PNS (FUNASA)",2013,"","","Julgue o item subsequente, no que se refere ao controle parlamentar. Nos governos presidencialistas, o controle do Poder Legislativo sobre a administração pública tem efeito direto, podendo o Congresso Nacional anular atos administrativos ilegais.",Errado,"www.tecconcursos.com.br/questoes/2719153"
54,"CEBRASPE (CESPE)","ACE (TC DF)",2012,"","","Com referência à parte geral do manual de auditoria do TCDF, julgue o item que se segue. As melhorias posteriores que não alterem o fundamento legal do ato concessório inicial para fins de registro de aposentadorias, reformas e pensões, não deverão ser objeto de exame do controle externo.",Certo,"www.tecconcursos.com.br/questoes/57837"
55,"CEBRASPE (CESPE)","TEFC (TCU)",2012,"","","Acerca das características próprias do TCU, julgue o item a seguir. O TCU adota, como sistema de controle de contas, o modelo germânico.",Certo,"www.tecconcursos.com.br/questoes/77256"
56,"CEBRASPE (CESPE)","Ana Min (MPE PI)",2012,"","","No que concerne a funções de planejamento e de orçamento federal, de administração financeira, de contabilidade e de controle interno no âmbito do Ministério Público, julgue o item. O Sistema de Controle Interno, sem prejuízo da verificação da regularidade das receitas e despesas, está crescentemente envolvido na avaliação dos resultados, quanto à eficiência e à eficácia da gestão. Enquanto o enfoque da eficiência está associado à minimização dos custos para a obtenção de determinado resultado, a eficácia tem como foco o resultado, independentemente dos custos para a sua obtenção.",Certo,"www.tecconcursos.com.br/questoes/1298224"
57,"CEBRASPE (CESPE)","Cont (SEDUC AM)",2011,"","","A respeito das normas e dos procedimentos aplicáveis à auditoria no setor público federal, julgue o item. As empresas estatais que, por disposição estatutária, contratarem empresas privadas de auditoria estão dispensadas de manter auditoria interna, cabendo a elas, nesse caso, a prestação de contas anuais.",Errado,"www.tecconcursos.com.br/questoes/1309874"
58,"CEBRASPE (CESPE)","Ana Amb (MMA)",2011,"","","Com relação à auditoria no setor público federal, julgue o item subsecutivo. A partir da IN TCU n.º 47/2004, o controle da conformidade — que consiste na compatibilização entre a gestão do órgão ou entidade e o cumprimento dos programas e o alcance de metas definidas por critérios políticos e pela alta administração — incorporou-se aos controles e julgamentos pelo Tribunal de Contas da União (TCU).",Errado,"www.tecconcursos.com.br/questoes/1773297"
59,"CEBRASPE (CESPE)","AUFC (TCU)",2010,"","","Considerando as normas constitucionais relativas a controle externo, julgue o item a seguir. O correto funcionamento de um sistema de fiscalização exercida pelo controle interno de determinada empresa pública dispensa a atuação do controle externo sobre aquela entidade.",Errado,"www.tecconcursos.com.br/questoes/48166"
60,"CEBRASPE (CESPE)","Ana (SAD PE)",2010,"","","Acerca de supervisão ministerial e sistema de controle interno, assinale a opção correta.",D,"www.tecconcursos.com.br/questoes/1545379"
61,"CEBRASPE (CESPE)","AA (ANTAQ)",2009,"","","Com relação às tomadas e prestações de contas, julgue o seguinte item. O controle exercido por meio do julgamento de tomadas e prestações de contas é um instrumento de controle predominantemente a priori e concomitante, iniciado pelos órgãos de controle interno que informam e orientam o gestor sobre os procedimentos a serem tomados e as providências a serem adotadas.",Errado,"www.tecconcursos.com.br/questoes/192140"
62,"CEBRASPE (CESPE)","AT (TCE TO)",2009,"","","Um sistema de controle externo se diferencia de um sistema de controle interno na administração pública, pois",A,"www.tecconcursos.com.br/questoes/921017"
63,"CEBRASPE (CESPE)","AT (TCE TO)",2009,"","","O controle na administração pública visa garantir a compatibilidade de sua atuação com os princípios que lhe são impostos pelo ordenamento jurídico brasileiro. Acerca desse assunto, assinale a opção correta.",D,"www.tecconcursos.com.br/questoes/921609"
64,"CEBRASPE (CESPE)","Aud Int (CGE MG)",2009,"","","Com relação ao controle interno na administração pública, assinale a opção correta.",E,"www.tecconcursos.com.br/questoes/1316689"
65,"CEBRASPE (CESPE)","Aud Int (CGE MG)",2009,"","","Os mecanismos de controle na administração pública se situam em duas esferas interdependentes de ação: os reconhecidos como de accountability verticais e os tratados como de accountability horizontais. Com base nesta concepção, assinale a opção correta.",B,"www.tecconcursos.com.br/questoes/1316690"
66,"CEBRASPE (CESPE)","Proc (TCE ES)",2009,"","","No que concerne à fiscalização e ao controle interno e externo dos orçamentos, assinale a opção correta.",D,"www.tecconcursos.com.br/questoes/1376875"
67,"CEBRASPE (CESPE)","Proc (TCE ES)",2009,"","","O controle externo, a cargo do Poder Legislativo e do TC, classifica-se em político e técnico. Com relação a esse assunto, à luz das disposições constantes na CF, assinale a opção correta.",A,"www.tecconcursos.com.br/questoes/1376958"
68,"CEBRASPE (CESPE)","Proc (TCE ES)",2009,"","","O julgamento das contas dos administradores e responsáveis é atribuição peculiar dos TCs, de acordo com a CF. Como órgãos especializados no julgamento das contas, suas decisões não estão sujeitas a revisão do Poder Judiciário, salvo quando",E,"www.tecconcursos.com.br/questoes/1376964"
69,"CEBRASPE (CESPE)","Proc (TCE ES)",2009,"","","A legislação vem refletindo, crescentemente, a preocupação com a maior transparência das contas públicas. A esse respeito, assinale a opção correta.",A,"www.tecconcursos.com.br/questoes/1376973"
70,"CEBRASPE (CESPE)","Ass Tec (TCE-RN)",2009,"","","Com referência ao controle externo e ao Poder Legislativo do estado e dos municípios, julgue o item a seguir. Entre os vários critérios adotados para classificar as modalidades de controle, destaca-se o que o distingue entre interno e externo, dependendo de o órgão que o exerça integrar ou não a própria estrutura em que se insere o órgão controlado. Nesse sentido, o controle externo é exercido por um poder sobre o outro, ou pela administração direta sobre a indireta.",Certo,"www.tecconcursos.com.br/questoes/1377138"
71,"CEBRASPE (CESPE)","Insp CEx (TCE-RN)",2009,"","","Acerca do controle externo das contas municipais, julgue o item que se segue. O parecer prévio emitido pelo órgão competente sobre as contas que o prefeito deve anualmente prestar, só deixará de prevalecer por decisão da maioria absoluta dos membros da câmara de vereadores.",Errado,"www.tecconcursos.com.br/questoes/1378221"
72,"CEBRASPE (CESPE)","Insp CEx (TCE-RN)",2009,"","","Acerca do controle externo das contas municipais, julgue o item que se segue. As contas municipais ficarão, durante sessenta dias por ano, à disposição dos contribuintes para exame e apreciação, os quais poderão questionar-lhes a legitimidade, nos termos da lei.",Certo,"www.tecconcursos.com.br/questoes/1378222"
73,"CEBRASPE (CESPE)","Aud (UNIPAMPA)",2009,"","","Com relação ao controle na administração pública, julgue o próximo item. Uma das formas como se manifesta a vinculação entre os controles interno e externo na administração federal consiste nas soluções de consultas formuladas pela Controladoria Geral da União (CGU) ao Tribunal de Contas da União (TCU).",Certo,"www.tecconcursos.com.br/questoes/1531027"
74,"CEBRASPE (CESPE)","Aud (UNIPAMPA)",2009,"","","Com relação ao controle na administração pública, julgue o próximo item. As fundações governamentais, de direito público ou privado, estão sujeitas aos controles interno e externo; as de direito público não se submetem à fiscalização do Ministério Público.",Certo,"www.tecconcursos.com.br/questoes/1531037"
75,"CEBRASPE (CESPE)","Aud (UNIPAMPA)",2009,"","","Com relação ao controle na administração pública, julgue o próximo item. O controle exercido sobre as entidades da administração indireta não pode comprometer a autonomia que as respectivas leis instituidoras lhes conferiram. Esses limites dizem respeito aos órgãos encarregados do controle, mas não aos atos de controle possíveis nem aos aspectos sujeitos ao controle.",Errado,"www.tecconcursos.com.br/questoes/1531039"
76,"CEBRASPE (CESPE)","Tec (MDS)",2008,"","","Julgue o item a seguir, relativos às atividades de avaliação, monitoramento e controle de políticas sociais. A atividade de controle diz respeito à legalidade dos atos praticados pela administração, enquanto a avaliação e o monitoramento procuram informar se determinada política produz resultados ou não.",Certo,"www.tecconcursos.com.br/questoes/2086771"
77,"CEBRASPE (CESPE)","APG (Vila Velha)",2008,"","","Com relação aos conceitos e às normas de auditoria concernentes ao setor público, julgue o item a seguir. A Câmara Municipal é responsável pelo controle externo do município, contando, para tanto, com o auxílio do Tribunal de Contas do estado, sem prejuízo da existência de sistemas de controle interno.",Certo,"www.tecconcursos.com.br/questoes/2191759"
78,"CEBRASPE (CESPE)","APG (Vila Velha)",2008,"","","Com relação à Lei n.º 4.320/1964, suas alterações e desdobramentos, julgue o item seguinte. As tomadas de contas especiais, modalidade de controle prévio, são aplicáveis aos casos de encerramento de gestão.",Errado,"www.tecconcursos.com.br/questoes/2191788"
79,"CEBRASPE (CESPE)","AUD (TCU)",2007,"","","Acerca do direito financeiro, julgue os itens que se seguem. À semelhança de países como Estados Unidos da América, Inglaterra e Suíça, o Brasil adota o sistema legislativo no controle da execução orçamentária, em que interagem o Congresso Nacional e o TCU, em âmbito federal.",Errado,"www.tecconcursos.com.br/questoes/3070"
80,"CEBRASPE (CESPE)","AUFC (TCU)",2007,"","","Acerca dos sistemas de controle externo e do controle externo no Brasil, julgue o item subseqüente. O sistema de controle externo, na maioria dos países signatários, é levado a termo ou pelas cortes de contas ou pelas auditorias-gerais. As principais características do sistema de tribunal de contas são as decisões colegiadas e o poder sancionatório. No Brasil, bem como nos demais países que adotam esse sistema, os tribunais de contas, quanto à sua organização, encontram-se ligados à estrutura do Poder Legislativo.",Errado,"www.tecconcursos.com.br/questoes/5373"
81,"CEBRASPE (CESPE)","AUFC (TCU)",2007,"","","Acerca dos sistemas de controle externo e do controle externo no Brasil, julgue o item subseqüente. A relevância do controle externo no Brasil não se restringe aos aspectos concernentes à eficiente gestão das finanças ou à adequada gerência administrativa do setor público. Envolve também o equilíbrio entre os poderes na organização do Estado democrático de direito.",Certo,"www.tecconcursos.com.br/questoes/5374"
82,"CEBRASPE (CESPE)","Per Crim (CPCRC)",2007,"","","Os controles internos constituem a referência inicial para avaliar as condições de funcionamento de um sistema de vigilância, fiscalização e verificação em uma organização. Com relação às recomendações básicas indicadas por especialistas, assinale a opção correta.",C,"www.tecconcursos.com.br/questoes/1647424"
83,"CEBRASPE (CESPE)","Con Tec Leg (CL DF)",2006,"","","Com referência ao controle e à auditoria governamentais, julgue o item que se segue. O julgamento das contas anuais do governador do DF, pela CLDF, é instruído com o parecer prévio de responsabilidade do TCDF, embasado nos balanços gerais e no relatório do órgão central do sistema de controle interno do próprio Poder Executivo sobre os orçamentos fiscal, da seguridade social e de investimento das empresas estatais.",Certo,"www.tecconcursos.com.br/questoes/632210"
84,"CEBRASPE (CESPE)","Adm (MDS)",2006,"","","Em relação aos conceitos e à legislação que trata de controle em geral, inclusive responsabilização dos agentes públicos, julgue o item seguinte. A supervisão ministerial se aplica a todas as entidades de que a União participa, inclusive na condição de acionista minoritário, enquanto o controle se circunscreve aos agentes públicos diretamente subordinados.",Errado,"www.tecconcursos.com.br/questoes/688989"
85,"CEBRASPE (CESPE)","AUFC (TCU)",2004,"","","Quanto aos sistemas de controle externo, julgue os itens subseqüentes. Tendo em conta o momento no qual a atividade de controle se realiza, o controle externo, analogamente ao que ocorre com o controle de constitucionalidade, pode ser classificado em prévio (a priori) ou posterior (a posteriori).",Certo,"www.tecconcursos.com.br/questoes/2883"
